ra,dec,z,Llim,Mstar,vstar,dist,Lx
127.647,5.4679776,0.07483054,4.765379752513821e+40,57332635370.840706,136.9793,1261.7036380167704,4.765379752513821e+40
127.65014,0.94078331,0.08508102,6.2470393858388595e+40,70510751465.71208,217.0319,150.6097644915895,6.2470393858388595e+40
127.6534,-0.33631047,0.0854269,6.300882659798413e+40,91404224823.84433,172.4744,54.11401835242012,6.300882659798413e+40
127.65994,4.0996764,0.06609007,3.6725323957576824e+40,24159454918.48204,6.902977,162.85186012231307,3.6725323957576824e+40
127.66256,4.7070055,0.1273665,1.4799096932370809e+41,126699242524.8609,192.557,855.7142457411801,1.4799096932370809e+41
127.66682,4.0418782,0.04477716,1.6357992561828342e+40,2235130696.1572485,6.902977,287.13986546429936,1.6357992561828342e+40
127.67002,4.1416106,0.1025149,9.283291975154384e+40,53216094256.99651,45.75309,160.38242717621085,9.283291975154384e+40
127.6721,3.9522028,0.06540857,3.5937730223441157e+40,41807254037.28236,144.188,298.8523415871963,3.5937730223441157e+40
127.67293,4.0134357,0.0490327,1.9734770500011516e+40,38135670734.59784,95.78683,305.7422053978653,1.9734770500011516e+40
127.67802,0.23510722,0.1486363,2.0699989322010425e+41,151911804691.93494,231.1036,84.97642812630907,2.0699989322010425e+41
127.67837,3.6831814,0.09786703,8.4086780272993095e+40,199631170768.34286,243.9853,27.734135456999844,8.4086780272993095e+40
127.67868,5.3692456,0.07478242,4.758938404438943e+40,37448589421.25582,78.97828,1094.0255506676353,4.758938404438943e+40
127.68548,4.2640069,0.06252033,3.2701958972957117e+40,81073414481.25005,102.155,362.6917106343176,3.2701958972957117e+40
127.68588,5.7624818,0.107456,1.0266248086445385e+41,117457890285.4435,133.3631,1297.5047931297227,1.0266248086445385e+41
127.68652,5.4435148,0.1011026,9.012438137535727e+40,34672148070.5787,98.46224,1139.1348336267088,9.012438137535727e+40
127.69607,4.3428484,0.0792694,5.380096660426681e+40,34737987172.19896,134.5121,117.89993686912072,5.380096660426681e+40
127.69976,4.066687,0.116676,1.2249750380216662e+41,54036274234.17303,170.4631,164.1485523444299,1.2249750380216662e+41
127.7015,5.9387971,0.1043078,9.633586731322058e+40,45976107323.85528,79.35416,1591.8139372723658,9.633586731322058e+40
127.7124,4.1540646,0.1173344,1.239894117289728e+41,132101305957.64809,214.4205,154.36038986552634,1.239894117289728e+41
127.72639,4.1823191,0.06575549,3.6337503800532983e+40,21174076951.391785,106.1437,265.8388253079453,3.6337503800532983e+40
127.73006,5.2292311,0.09995578,8.79577730466734e+40,13575259568.166332,47.12235,591.7961275952575,8.79577730466734e+40
127.74201,4.8674947,0.08398102,6.077488634284156e+40,41000124213.73174,165.3914,579.2135309464538,6.077488634284156e+40
127.74517,3.6940112,0.09805038,8.442270326565006e+40,90006965880.64252,110.2685,256.2778175491581,8.442270326565006e+40
127.75212,3.9528822,0.04895034,1.9666219524176454e+40,3450504161.707276,73.14419,39.45301282306294,1.9666219524176454e+40
127.75491,3.6988,0.09811828,8.45472943293549e+40,89312983353.01439,224.2844,294.691344131894,8.45472943293549e+40
127.75746,4.054146,0.06505076,3.552791107965118e+40,8262661952.211537,87.55328,48.49677057093312,3.552791107965118e+40
127.75805,4.0552463,0.06475648,3.519275927605886e+40,11091951861.241484,97.93909,49.3541719914507,3.519275927605886e+40
127.75916,0.7121904,0.07923666,5.3754132052795915e+40,10011618101.720623,66.35074,9.427621868219816,5.3754132052795915e+40
127.76124,3.7001104,0.09898162,8.61403578167848e+40,61398358742.75321,101.3548,317.8910799466546,8.61403578167848e+40
127.76654,4.0305812,0.0752008,4.815101743718162e+40,8641914361.372906,78.27393,117.4576727010229,4.815101743718162e+40
127.77741,5.4925595,0.1011306,9.017764681905257e+40,14956511741.805307,66.80785,784.5184184334697,9.017764681905257e+40
127.7922,5.9574744,0.1089384,1.057195460027127e+41,41645964180.365685,156.1882,1426.7892239747534,1.057195460027127e+41
127.79427,4.4221683,0.08518131,6.262625414764273e+40,34295751374.716072,163.8505,479.6697146359093,6.262625414764273e+40
127.80695,5.3324817,0.06359576,3.388754206044858e+40,10934398442.250803,61.8513,780.725814377114,3.388754206044858e+40
127.8098,5.495347,0.1011418,9.019895790030851e+40,22618509612.02419,76.43497,667.5886706229049,9.019895790030851e+40
127.83365,5.5044446,0.1067894,1.0130411800245576e+41,42884386534.49174,149.3697,578.5563616859855,1.0130411800245576e+41
127.85283,5.013342,0.07518779,4.81334986745024e+40,166236675291.32834,167.5302,150.39400553493547,4.81334986745024e+40
127.86233,5.3223126,0.1349496,1.677420059673247e+41,252761503277.2378,150.9735,726.6153213934621,1.677420059673247e+41
127.87288,0.53029246,0.07950046,5.413213257005764e+40,60524211980.38662,151.0985,92.60451322813488,5.413213257005764e+40
127.87873,0.2223397,0.1495317,2.0973334838041803e+41,283194447580.7038,184.5454,31.009867894602355,2.0973334838041803e+41
127.89076,4.5415719,0.1056741,9.905399308359178e+40,55200526531.20458,115.8501,261.35931326757134,9.905399308359178e+40
127.89749,5.2329667,0.1066608,1.010432264218926e+41,40441556078.58689,161.5172,356.96037061687184,1.010432264218926e+41
127.91559,3.4234755,0.07117359,4.28933988544499e+40,34216663698.4968,82.1208,286.7650791618899,4.28933988544499e+40
127.92629,5.0181533,0.1275634,1.4848613371825836e+41,259930655299.0895,165.9465,26.6716173260124,1.4848613371825836e+41
127.93054,5.7816077,0.06365867,3.3957601375825616e+40,10657527088.456068,23.31252,623.0916582764701,3.3957601375825616e+40
127.93836,4.4033852,0.086077,6.402772203513639e+40,39202548978.37251,142.1196,265.19235767469064,6.402772203513639e+40
127.944,1.3031839,0.1236259,1.3876129489583528e+41,119830038970.18944,228.6357,256.5408314375109,1.3876129489583528e+41
127.96296,4.4203449,0.08590119,6.375128962028151e+40,48384011465.90799,154.1179,187.330570589668,6.375128962028151e+40
127.96903,4.2751162,0.06556021,3.611217853783356e+40,6894927095.055987,37.88949,140.6115478085287,3.611217853783356e+40
127.97115,5.1557947,0.08382838,6.054163570459951e+40,23512996246.40932,65.70187,109.4351227278911,6.054163570459951e+40
127.97914,4.2337866,0.06419799,3.4561418290950784e+40,129689824401.77435,218.754,23.765002304021863,3.4561418290950784e+40
127.98869,3.6530089,0.1168581,1.2290911904290055e+41,51503889803.84761,116.3347,76.5650296169564,1.2290911904290055e+41
127.99016,5.157414,0.06061219,3.065426801941383e+40,10315023053.256578,32.92481,176.39806488193463,3.065426801941383e+40
127.99752,3.6400741,0.07122543,4.2958979889552967e+40,15058915011.142672,64.66615,101.70958650092366,4.2958979889552967e+40
127.99769,5.3192211,0.09976715,8.760421355485247e+40,77128351110.00337,195.7374,450.68443836880806,8.760421355485247e+40
128.01818,3.9486408,0.07483245,4.765635523316299e+40,36789503454.192924,102.3327,106.9208930132099,4.765635523316299e+40
128.02655,3.8437781,0.1445912,1.9490607816269035e+41,323143019083.66425,160.8651,59.61540385727018,1.9490607816269035e+41
128.03097,4.6246208,0.0002094308,3.349594773746276e+35,113086.39382835828,6.902977,142.59595719565226,3.349594773746276e+35
128.03528,4.0929324,0.04132226,1.386202576667522e+40,1995232287.9241598,28.15564,131.39226555847162,1.386202576667522e+40
128.03689,4.1341813,0.04872453,1.9478921055385758e+40,25581342.17687616,29.53398,143.52393924333683,1.9478921055385758e+40
128.0576,3.7818895,0.1448758,1.9574336146168574e+41,80925054584.25916,91.40043,26.368220526043448,1.9574336146168574e+41
128.07983,3.5020715,0.08853786,6.796628335659734e+40,365583364.0375645,12.93489,143.5758998074098,6.796628335659734e+40
128.08616,3.0934591,0.106995,1.0172200088759737e+41,167207333862.14996,275.0419,5.4520156132231685,1.0172200088759737e+41
128.09325,3.4995277,0.0303937,7.381180139047814e+39,1358618381.8517802,25.11696,168.72848502795404,7.381180139047814e+39
128.09487,4.5552841,0.06391018,3.423847434862947e+40,60704682680.1685,165.2861,67.3330561156936,3.423847434862947e+40
128.09651,5.6280567,0.134564,1.6670370018993517e+41,44817874525.08581,51.49228,265.4305081756517,1.6670370018993517e+41
128.09977,4.4765214,0.06471477,3.5145395141443644e+40,10480346441.915869,69.76707,170.56541733850963,3.5145395141443644e+40
128.10604,4.9855817,0.1344659,1.6644013072440906e+41,86317639024.50627,153.8724,199.32382746168244,1.6644013072440906e+41
128.13368,4.323393,0.06412144,3.447536376188767e+40,10187547772.7511,91.26788,77.23717281617745,3.447536376188767e+40
128.13541,4.3851071,0.06518634,3.5682899244048043e+40,31576886813.064632,106.2283,121.34736008668382,3.5682899244048043e+40
128.14223,4.410107,0.06466927,3.509376654161176e+40,142017931541.4753,247.8521,61.872847111326614,3.509376654161176e+40
128.14453,4.4022466,0.1061614,1.0003365220787446e+41,197906459312.61588,113.46,84.63842947393297,1.0003365220787446e+41
128.14589,4.3668748,0.06412671,3.448128437759543e+40,8571959210.503889,88.17279,102.84898602382455,3.448128437759543e+40
128.15035,3.8424703,0.05924501,2.923083718159869e+40,3378253272.4370284,114.8619,118.92696079955174,2.923083718159869e+40
128.15201,4.5914587,0.06437141,3.4756798916822857e+40,44411638683.63721,182.1374,209.53650006982227,3.4756798916822857e+40
128.15247,4.1603062,0.09255324,7.467241560100589e+40,26606824451.14221,124.8042,90.42867308661297,7.467241560100589e+40
128.15564,4.9710931,0.1389279,1.786691370633306e+41,139632503535.04004,210.5221,75.20267175489438,1.786691370633306e+41
128.15814,4.7114649,0.07487638,4.771520317410483e+40,97513504068.07541,114.1654,52.77591520207137,4.771520317410483e+40
128.16836,4.2214036,0.06265742,3.285182467967196e+40,16262795256.775785,68.68971,147.79604906193254,3.285182467967196e+40
128.16986,4.4264403,0.06611943,3.6759462182773003e+40,15983848183.481106,178.5046,158.13864056168694,3.6759462182773003e+40
128.17253,3.2620792,0.09842212,8.510606654338255e+40,430857970.94386494,116.0956,43.60244751070572,8.510606654338255e+40
128.17879,3.9634234,0.06515604,3.564823018334813e+40,73282427306.02165,99.56678,239.2350929241194,3.564823018334813e+40
128.18167,5.8088161,0.1091035,1.0606312914583865e+41,58095379784.336464,225.1507,523.5831739711818,1.0606312914583865e+41
128.1841,4.4858755,0.08499458,6.2336229115539275e+40,108916951035.66151,259.7642,100.60885303093981,6.2336229115539275e+40
128.18548,-0.30741695,0.09599985,8.070810253126959e+40,16918515171.161072,6.902977,78.90001404912385,8.070810253126959e+40
128.20546,2.7023763,0.124392,1.4062426200938017e+41,2132103932.2356408,33.9757,133.61262218998806,1.4062426200938017e+41
128.21332,4.2051435,0.06447224,3.4870670806500554e+40,9252893277.03419,85.54248,48.401623449903866,3.4870670806500554e+40
128.21722,4.8748962,0.08543371,6.301945326288364e+40,25770178912.136612,131.1307,50.16214038555774,6.301945326288364e+40
128.22395,3.8368338,0.05181796,2.212801223533059e+40,62062320653.10937,101.8452,1.876633025203538,2.212801223533059e+40
128.22711,3.4448087,0.0405433,1.332933901943833e+40,17078388489.999372,79.74839,56.93853971308396,1.332933901943833e+40
128.25452,4.4557713,0.07508586,4.799636398410635e+40,14898613258.430822,81.46961,54.31047741793383,4.799636398410635e+40
128.25694,1.2070232,0.05728527,2.725374993351353e+40,31161615263.377354,99.07485,120.65256733723888,2.725374993351353e+40
128.27634,4.8348174,0.08621006,6.423737468309483e+40,30167212277.274265,103.1273,147.49638457858444,6.423737468309483e+40
128.27756,4.064193,0.07640323,4.978519275169671e+40,38629549231.69412,132.2769,4.988121959446877,4.978519275169671e+40
128.27859,4.8358824,0.0864127,6.455738403813332e+40,90624183070.72485,160.7216,145.55364180210404,6.455738403813332e+40
128.28012,1.8402584,0.1177846,1.2501539866388915e+41,133917006029.64876,189.3947,70.88203905566246,1.2501539866388915e+41
128.28082,4.4877683,0.075507,4.856433865525005e+40,7327409514.185849,58.85983,135.33568655560194,4.856433865525005e+40
128.28166,1.4911714,0.08469404,6.18709905033683e+40,168874171913.55414,122.3887,66.21288980787891,6.18709905033683e+40
128.28393,4.8590855,0.06315478,3.33986386521465e+40,17213239202.13863,120.0537,79.98291674898378,3.33986386521465e+40
128.28537,4.5173943,0.06376166,3.407246412713638e+40,2677302266.3057055,50.81598,102.46794212980032,3.407246412713638e+40
128.29231,4.2015343,0.06636591,3.704673272781184e+40,23235528184.5717,101.0451,89.54156790616872,3.704673272781184e+40
128.29364,4.176869,0.1009986,8.99266916085562e+40,162283796597.75528,180.8978,1.7329619794074846,8.99266916085562e+40
128.29853,3.4643345,0.03106704,7.719457036147704e+39,4977993548.907667,24.36803,139.72079468406682,7.719457036147704e+39
128.29996,3.6751872,0.09830266,8.488613164196764e+40,173216759651.9533,193.0898,46.4616411252284,8.488613164196764e+40
128.31114,4.3843672,0.06502258,3.5495742901811253e+40,60890972098.65985,89.31239,284.49112019538137,3.5495742901811253e+40
128.32022,4.7761037,0.1336305,1.6420522144646688e+41,97358010524.0385,172.8317,187.42443785015357,1.6420522144646688e+41
128.32344,2.2911517,0.08382156,6.053122549464985e+40,129384691635.96852,141.8014,187.19382070171844,6.053122549464985e+40
128.33028,4.444914,0.07531942,4.83109069145224e+40,290758050103.00464,253.925,63.6118637547599,4.83109069145224e+40
128.33141,4.3111315,0.06436045,3.47444334134959e+40,16812245411.272055,94.85947,251.0394676097702,3.47444334134959e+40
128.34182,5.134361,0.07484239,4.766966723599799e+40,20856668872.76834,51.5852,45.63106360990004,4.766966723599799e+40
128.34518,4.1858589,0.07545108,4.848871173826272e+40,44096861057.31584,158.071,19.739088662012783,4.848871173826272e+40
128.34899,3.8714775,0.07512674,4.805133753618555e+40,4609815568.022711,29.64851,130.53678324125647,4.805133753618555e+40
128.3561,5.3447933,0.1084895,1.0478850970279786e+41,34615708896.34419,164.4506,116.05114168831697,1.0478850970279786e+41
128.35638,5.1569617,0.06354576,3.3831915578045993e+40,52781595470.8447,141.2009,79.13408679457518,3.3831915578045993e+40
128.35948,4.1598318,0.06680599,3.7562653175654515e+40,85017505375.52734,113.0819,119.25603233065989,3.7562653175654515e+40
128.35956,4.3204729,0.06266872,3.2864194235151976e+40,96863843942.5264,96.442,218.23911735084377,3.2864194235151976e+40
128.36894,4.1675322,0.08442445,6.145529208741283e+40,40944673786.61635,140.8109,113.37069030799844,6.145529208741283e+40
128.37859,4.9283236,0.1219724,1.347881297060273e+41,80398067138.93912,164.4387,177.21714863626235,1.347881297060273e+41
128.38946,3.9383656,0.1160781,1.2115147889671763e+41,85717636966.07863,141.5895,43.89325559661284,1.2115147889671763e+41
128.39692,4.3897968,0.07607222,4.93323607684713e+40,42068370783.94566,33.06927,122.70263237235238,4.93323607684713e+40
128.40175,3.7415227,0.07595409,4.917130188716708e+40,56762299942.82677,145.7945,110.24122052372465,4.917130188716708e+40
128.40323,5.1545198,0.06281802,3.3027861424165356e+40,42455335050.46332,143.2008,98.56021299528037,3.3027861424165356e+40
128.41818,5.09672,0.107829,1.0342697540634114e+41,54754861146.886024,100.1429,86.97450251399577,1.0342697540634114e+41
128.42121,2.1765185,0.03944149,1.2594636334518348e+40,20073814110.051994,47.79797,127.8013781023809,1.2594636334518348e+40
128.43148,4.2258222,0.07389407,4.64087613424613e+40,43707764419.34774,112.3853,23.288136618710574,4.64087613424613e+40
128.43689,3.7816617,0.07591911,4.912366517469631e+40,33747612338.285755,143.4646,34.64682539678942,4.912366517469631e+40
128.47234,2.8683606,0.1077364,1.0323688812287382e+41,174103587191.97775,214.3478,85.54050008638562,1.0323688812287382e+41
128.47287,3.5760313,0.08359607,6.018758575990034e+40,53160965884.04701,65.48037,60.178057556104136,6.018758575990034e+40
128.47403,3.7400403,0.07561648,4.871258696875142e+40,20199045991.578102,72.97118,37.6498359235202,4.871258696875142e+40
128.47642,2.5537633,0.07383887,4.633593323279949e+40,103719953769.72229,221.509,136.27550310227076,4.633593323279949e+40
128.48168,4.3564677,0.06491886,3.53774795487043e+40,64768635860.49401,61.72118,82.95168029948627,3.53774795487043e+40
128.49615,4.7572719,0.0006530923,3.2595340745726286e+36,9249912.06823453,66.4833,42.666394560610826,3.2595340745726286e+36
128.5008,3.5816881,0.146376,2.001908492132466e+41,144379255447.43204,128.4983,132.12082286440267,2.001908492132466e+41
128.50315,4.6620658,0.06268414,3.2881077803811187e+40,17174155427.627138,48.26861,146.41528398871162,3.2881077803811187e+40
128.50576,3.7719483,0.08375034,6.042257233880991e+40,16192928695.585953,43.79512,105.91085429230539,6.042257233880991e+40
128.51474,3.2731035,0.03116626,7.769972152872219e+39,51674884651.67166,196.7389,117.01783636004681,7.769972152872219e+39
128.5164,5.2971128,0.0001358434,1.4090917283560092e+35,295150.3091902547,55.13877,128.16366914004416,1.4090917283560092e+35
128.52726,5.6033515,0.1096663,1.0723904040800475e+41,149798121139.72684,150.151,172.57980288437926,1.0723904040800475e+41
128.53111,5.5412211,0.1009217,8.978067055526599e+40,20019777919.26055,30.59826,177.10751576600487,8.978067055526599e+40
128.53975,5.1634863,0.06298541,3.321188095219622e+40,72267045327.12535,172.6424,34.648281776307066,3.321188095219622e+40
128.54811,3.8002885,0.05989246,2.990038850489115e+40,30192645927.014355,123.3558,198.5892368797788,2.990038850489115e+40
128.55267,4.0226877,0.1058389,9.938470166079398e+40,34529364567.20772,148.0173,144.31537698439445,9.938470166079398e+40
128.55761,2.9205176,0.1173918,1.2411995937943604e+41,147001914335.17383,203.8797,146.37648719735225,1.2411995937943604e+41
128.56212,5.9925763,0.110751,1.0952590374214317e+41,23529709769.876144,59.46583,563.2222660734418,1.0952590374214317e+41
128.58399,4.8698049,0.06247047,3.2647544030212455e+40,58217716736.24293,216.3073,102.77029396024516,3.2647544030212455e+40
128.58637,2.4089012,0.1031923,9.414791842362717e+40,100319692045.84238,183.3904,229.30357002287832,9.414791842362717e+40
128.58697,2.4102028,0.1040919,9.591021195265967e+40,6418120266.79218,36.82463,232.07466851459097,9.591021195265967e+40
128.59557,5.3480551,0.04679656,1.7918484813349046e+40,8647651743.205572,17.46232,11.474015579821867,1.7918484813349046e+40
128.59578,5.0243545,0.1006613,8.928719197964652e+40,166106887903.00522,238.7672,186.90882013402918,8.928719197964652e+40
128.59663,3.7601175,0.07603736,4.92848026202196e+40,105322536910.46909,195.887,7.706997457004946,4.92848026202196e+40
128.60115,5.3040709,0.04660838,1.7769880544056318e+40,159337673436.10986,125.8064,154.50192458106284,1.7769880544056318e+40
128.60284,5.2514983,0.1422601,1.8812509578254633e+41,101273948740.36024,179.3879,156.32561276848517,1.8812509578254633e+41
