RA,DEC,Z,sSFR_0_1Gyr_best_fit,sSFR_0_1Gyr_percentile16,sSFR_0_1Gyr_percentile50,sSFR_0_1Gyr_percentile84,mass_stellar_best_fit,mass_stellar_percentile16,mass_stellar_percentile50,mass_stellar_percentile84
129.9306637,-0.3424127,0.0525,0.00000000003898,-10.87,-10.57,-10.42,739700000,8.892,8.982,9.102
129.9770715,-0.2433203,0.0748,0.000000001172,-8.975,-8.925,-8.825,620900000,8.777,8.797,8.887
130.6276932,-0.2728498,0.0512,0.0000000004576,-9.525,-9.375,-9.275,474800000,8.612,8.677,8.752
131.9933387,-0.4040299,0.0775,0.0000000003591,-9.825,-9.525,-9.375,1080000000,9.012,9.082,9.122
132.1223735,-0.3020296,0.0406,0.000000000108,-10.12,-10.02,-9.875,617500000,8.687,8.747,8.867
132.1822559,-0.2463294,0.0753,0.0000000003505,-9.675,-9.525,-9.375,1392000000,9.032,9.102,9.227
132.2565484,-0.3491911,0.0147,0.00000000004888,-10.47,-9.975,-9.675,197400000,7.937,8.092,8.252
132.3179354,-0.2218442,0.0472,0.00000000009419,-10.12,-9.925,-9.725,1794000000,8.967,9.057,9.252
132.6843334,-0.3616068,0.0927,0.000000000805,-9.275,-9.175,-9.075,1132000000,9.032,9.082,9.127
132.702488,-0.2154982,0.0527,0.0000000003024,-9.775,-9.625,-9.475,2091000000,9.242,9.317,9.392
132.6463966,-0.2471692,0.1083,0.0000000004467,-9.475,-9.325,-9.175,1113000000,8.982,9.047,9.122
132.7911375,-0.3816227,0.0722,0.0000000002722,-10.12,-9.775,-9.575,1635000000,9.152,9.237,9.362
132.8401701,-0.3950839,0.0429,0.000000000457,-9.675,-9.475,-9.425,1205000000,9.082,9.152,9.252
133.1924468,-0.2340337,0.0737,0.0000000001572,-10.17,-10.07,-9.725,2051000000,9.222,9.292,9.442
133.5880603,-0.4092586,0.057,0.0000000001217,-9.925,-9.825,-9.575,1556000000,8.962,9.087,9.182
133.4825921,-0.3205352,0.0734,0.0000000005447,-10.82,-9.925,-9.425,853700000,8.822,8.942,9.022
133.7184412,-0.2635454,0.0504,0.0000000009815,-9.025,-8.975,-8.875,409200000,8.612,8.612,8.837
133.6809722,-0.3849232,0.0873,0.0000000004694,-9.475,-9.375,-9.175,1106000000,8.977,9.042,9.132
134.019021,-0.3210885,0.091,0.0000000004234,-12.12,-9.925,-9.475,1710000000,9.217,9.297,9.462
134.3033976,-0.2866901,0.0111,0.0000000002943,-9.525,-9.425,-9.375,32350000,7.407,7.492,7.507
134.4386335,-0.3566423,0.0283,0.0000000000009115,-12.02,-12.02,-10.07,807500000,8.877,8.907,8.927
134.498662,-0.4102905,0.0111,0.0000000003835,-9.475,-9.425,-9.325,45090000,7.547,7.617,7.822
134.7901036,-0.272115,0.0418,0.0000000003535,-9.575,-9.475,-9.425,929800000,8.967,8.997,9.052
134.9301292,-0.3567501,0.1209,0.0000000006283,-10.17,-9.925,-9.425,2076000000,9.302,9.412,9.412
135.0303306,-0.2817127,0.0541,0.0000000003985,-10.22,-10.17,-9.375,292000000,8.462,8.547,8.612
135.0284483,-0.2829101,0.0548,0.0000000005505,-9.525,-9.425,-9.275,608900000,8.722,8.812,8.902
135.0461501,-0.3018677,0.0419,0.0000000001949,-10.02,-9.875,-9.725,2508000000,9.297,9.387,9.497
135.2370197,-0.2756148,0.0529,0.0000000002335,-10.42,-9.625,-9.575,2694000000,9.407,9.427,9.517
135.302918,-0.4045587,0.0535,0.00000000009234,-10.37,-10.07,-9.775,1064000000,8.922,9.037,9.142
135.3789167,-0.4089977,0.0531,0.0000000001641,-9.775,-9.575,-9.425,1326000000,8.867,8.957,9.087
