RA,DEC,Z,logmstar,dellogmstar
137.5185562,-0.6893509,0.09337,9.55236,0.122359
137.6751662,-0.7730413,0.11648,10.1601,0.108105
137.9099244,-0.7149916,0.0702,9.86294,0.122992
137.8273085,-0.8370951,0.14616,10.3694,0.10757
138.166235,-0.816913,0.00042,3.94151,0.121154
138.2838904,-0.8044394,0.13769,10.1797,0.110043
138.460749,-0.6356363,0.13819,10.5295,0.119243
138.4623132,-0.6754685,0.13874,10.1256,0.128771
138.4676827,-0.6509255,0.13879,10.1114,0.163852
138.5613167,-0.7579798,0.14473,10.3137,0.120509
138.5831007,-0.745468,0.1445,10.4593,0.0979832
138.648327,-0.7523267,0.12814,10.337,0.121229
138.7764668,-0.7184472,0.05392,10.9157,0.11347
138.8637248,-0.7129687,0.13685,9.69837,0.277805
138.9928178,-0.6467822,0.06093,9.88472,0.119432
139.0553946,-0.7349764,0.10366,10.364,0.103101
139.0411901,-0.6888488,0.05201,10.5457,0.107233
139.0506498,-0.6995011,0.03907,10.8219,0.106766
139.051008,-0.7665043,0.10366,10.4229,0.115603
139.0597127,-0.7609734,0.00123,5.33052,0.126141
139.0669383,-0.7821373,0.07454,9.7715,0.106264
139.3064474,-0.8389544,0.07432,8.97322,0.108339
139.2502855,-0.7578952,0.14737,9.84324,0.124631
139.226713,-0.6306276,0.14416,9.68134,0.113836
139.5639217,-0.7411094,0.06581,10.278,0.128254
139.4802984,-0.8388978,0.14221,9.76992,0.1252
139.6295323,-0.7453155,0.05596,8.9031,0.12354
139.7074642,-0.7840489,0.07409,10.4745,0.124627
139.822035,-0.8067636,0.07605,9.32713,0.117031
139.8201493,-0.8077161,0.07632,9.19072,0.147449
139.7657356,-0.817706,0.0167,8.58027,0.121688
139.781543,-0.7877997,0.04618,10.4409,0.108165
139.7938316,-0.8378881,0.05695,10.3615,0.133333
139.8132859,-0.7832997,0.1386,10.1272,0.105912
139.8257721,-0.8093822,0.07557,9.52269,0.110725
139.9789563,-0.7879655,0.00007,1.58098,0.116455
140.0731693,-0.7431104,0.09596,9.50206,0.125202
140.06154,-0.7249028,0.06993,10.7324,0.120672
140.1320122,-0.8272575,0.06748,9.60558,0.126208
140.1562541,-0.679463,0.01169,9.61865,0.122054
140.1913475,-0.7239686,0.139,10.5984,0.112746
140.2192279,-0.7679394,0.0557,10.5264,0.117496
140.3197661,-0.8004051,0.06149,8.93039,0.10727
140.2260296,-0.6676773,0.07024,9.54119,0.140341
140.4480543,-0.7519886,0.07434,9.12807,0.109404
140.4839519,-0.7621696,0.14142,10.7594,0.0874817
140.4848753,-0.7414363,0.14049,10.7937,0.105125
140.4909608,-0.7362088,0.14121,11.0039,0.0980445
140.5006348,-0.7490307,0.14315,10.5039,0.138724
140.5426798,-0.8218614,0.13946,10.6355,0.178712
140.5871022,-0.7456004,0.13933,11.2592,0.111472
140.515388,-0.7578918,0.14026,9.93976,0.115615
140.5170633,-0.7038895,0.02331,8.14773,0.126089
140.6489249,-0.6487414,0.07451,9.60044,0.106478
140.6529386,-0.7898305,0.05382,9.87366,0.121309
140.708537,-0.6608697,0.13854,10.5383,0.119412
140.721258,-0.7048672,0.13526,10.2029,0.120829
140.7707521,-0.833371,0.13518,10.1162,0.114511
140.8153769,-0.7280631,0.01176,9.30063,0.0969612
140.8331101,-0.7171708,0.05606,9.57196,0.127017
140.9252462,-0.7650857,0.13617,10.4259,0.0996416
140.928852,-0.807592,0.13616,10.5364,0.0965685
140.9387931,-0.6997596,0.13634,10.3938,0.104723
140.9453324,-0.7473977,0.13693,10.1983,0.0970649
140.9233466,-0.6849491,0.13645,9.72926,0.117126
140.9582226,-0.764794,0.13603,10.5442,0.0912443
140.961838,-0.7733345,0.13654,10.8655,0.106575
140.974992,-0.6826335,0.0554,10.0903,0.125645
140.9768434,-0.7793034,0.13523,10.6124,0.10847
129.0774665,-0.3496206,0.0574,9.34112,0.118241
129.1143144,-0.3856446,0.05204,9.26149,0.127678
129.1184709,-0.3296377,0.00009,3.05844,0.0931569
129.01286072,-0.35184033,0.05725,9.16054,0.122222
129.1919769,-0.324199,0.01767,7.79323,0.126408
129.3084281,-0.2747999,0.03771,9.70962,0.129744
129.3535371,-0.236726,0.0348,10.2141,0.11298
129.3541058,-0.2578173,0.03535,10.4345,0.111377
129.3026869,-0.3607053,0.10789,10.4744,0.101076
129.3249252,-0.3538214,0.07891,9.67825,0.108989
129.345312,-0.2435053,0.03494,9.10765,0.16203
129.4113899,-0.3161139,0.05185,9.36119,0.108447
129.4479025,-0.2440376,0.05224,9.03523,0.137465
129.4603942,-0.2620827,0.05116,10.5761,0.111613
129.4573502,-0.2516074,0.05184,10.9259,0.107858
129.47163,-0.2531678,0.05226,10.6756,0.111062
129.4354879,-0.2446011,0.05262,9.94896,0.127862
129.5296744,-0.2287299,0.0522,9.12741,0.125663
129.548612,-0.3125604,0.05168,9.08037,0.160574
129.6419854,-0.411129,0.14413,10.8002,0.101105
129.6220654,-0.4030477,0.14444,10.4055,0.102172
129.7121485,-0.3337501,0.05199,10.1849,0.117906
