ind,ra,dec,mass_stellar_best_fit,sSFR_best_fit,z
175,135.4338961,1.4742700000000002,799300000,1.04e-10,0.0569
176,137.1281536,1.6737841999999998,1624000000,1.766e-10,0.0702
177,137.9122514,1.5881969000000002,171300000,5.711e-10,0.0265
178,139.93723949999998,1.7531339,2634000000,4.538e-10,0.1228
179,140.3529379,1.6472139,1342000000,1.006e-09,0.1019
18,132.68433339999999,-0.3616068,1132000000,8.05e-10,0.0927
180,140.38965329999996,1.5847701,377200000,7.222e-11,0.0166
181,129.69105359999998,1.6832835999999998,1958000000,5.949e-10,0.1107
182,130.51680079999997,1.7883765999999999,1943000000,1.875e-10,0.0962
183,130.58200019999998,1.8380915000000002,935900000,1.05e-09,0.0664
184,131.68424819999998,1.8236619,2737000000,1.599e-13,0.0504
185,132.41812889999997,1.7663454,590000000,4.091e-10,0.0604
186,132.90747219999997,1.8115989000000001,502800000,3.676e-10,0.0378
187,134.0094825,1.8834554,348300000,2.748e-11,0.0179
188,136.40520629999997,2.0271431,740100000,3.916e-12,0.0519
189,138.26577559999998,2.0206812,91650000,3.663e-10,0.0125
19,132.6463966,-0.2471692,1113000000,4.467e-10,0.1083
190,138.53207479999998,1.9796614000000001,239800000,1.575e-11,0.038
191,139.49773999999996,1.9642146,1274000000,8.933e-09,0.0935
192,139.89851299999998,2.129282,2779000000,2.762e-10,0.0866
193,139.90810459999997,2.131068,99000000,7.31e-10,0.028
194,140.0790816,2.1817384,44760000,1.836e-09,0.0897
195,140.37650219999998,2.0753023,2164000000,3.999e-10,0.0886
196,140.9433278,2.0948592,44460000,1.335e-09,0.0238
197,140.86403469999996,2.0202431,1136000000,4.538e-10,0.091
198,130.57452509999996,2.1459732,2288000000,2.861e-10,0.0632
199,131.01339489999998,2.1155925,2196000000,2.042e-10,0.1017
2,130.79169609999997,-0.6403282,2887000000,1.23e-10,0.109
20,132.7911375,-0.3816227,1635000000,2.722e-10,0.0722
200,134.10483359999998,2.2304215000000003,1175000000,6.732e-11,0.125
201,134.82996919999997,2.3849306,1777000000,2.845e-10,0.0948
202,135.07952629999997,2.334884,2169000000,4.701e-10,0.0984
203,135.53882789999997,2.3773406,2374000000,1.237e-09,0.124
204,136.4649881,2.4351239000000002,2002000000,2.601e-10,0.0815
205,137.4565766,2.4719272,143400000,1.146e-10,0.0127
206,138.68358409999996,2.4116828,1593000000,5.949e-10,0.1012
207,138.8443946,2.3784408,499700000,4.819e-10,0.0548
208,139.029703,2.369932,2270000000,3.518e-10,0.0717
209,139.33809515,2.48049159,197600000,1.7e-10,0.0256
21,133.19244679999997,-0.2340337,2051000000,1.572e-10,0.0737
210,139.5337692,2.4552195,857900000,4.861e-10,0.0714
211,130.20150659999996,2.2070593,769700000,3.015e-10,0.0502
212,132.9123464,2.3736994,2406000000,1.846e-10,0.0733
213,135.3069889,2.4645443,1801000000,1.059e-08,0.1022
214,135.5946239,2.5292491,807300000,2.805e-09,0.131
215,140.592583,2.7781851,2360000000,1.696e-10,0.0874
216,140.7135861,2.9353221,668000000,8.725e-10,0.1162
217,140.7136526,2.9359636000000005,2917000000,2.132e-10,0.1165
218,129.76787679999998,2.4785998,2276000000,2.733e-10,0.1132
219,130.0853206,2.5628461,1934000000,2.839e-11,0.0515
22,133.5880603,-0.40925860000000003,1556000000,1.217e-10,0.057
220,130.43540819999998,2.6196613,812200000,1.968e-10,0.0501
221,130.9281596,2.5891478,247500000,1.513e-10,0.0257
222,131.5925278,2.6137486,1417000000,7.929e-11,0.0594
223,131.62950039999998,2.6131144,2510000000,3.495e-10,0.074
224,131.64731999999998,2.758419,619800000,6.114e-10,0.0595
225,131.7477318,2.5817088999999998,1866000000,2.972e-11,0.0276
226,131.78032319999997,2.6767919,626700000,6.253e-10,0.0591
227,133.13629899999998,2.8320190999999997,659000000,4.941e-10,0.0592
228,133.5231448,2.8925865,2442000000,4.035e-10,0.0985
229,133.63569769999998,2.8614875,1695000000,3.647e-10,0.0849
23,134.43863349999998,-0.35664229999999997,807500000,9.115e-13,0.0283
230,136.11768669999998,2.9644858000000003,765100000,3.488e-10,0.055
231,130.66564579999996,2.9313681999999996,1287000000,3.377e-10,0.0781
232,131.35051249999998,2.9872055,2173000000,4.854e-10,0.0781
233,137.816039,2.5557847,82470000,1.892e-09,0.0391
234,139.46195139999998,2.6435769,2131000000,7.67e-10,0.0815
235,140.9432441,2.752863,234600000,3.18e-10,0.0169
236,129.30336649999998,2.2692616,381000000,3.767e-10,0.0396
237,129.6946961,2.2651963,727000000,4.238e-10,0.0505
238,129.9439313,2.4018769,782500000,6.01e-12,0.035
239,131.19979029999996,2.4125917,1630000000,1.751e-12,0.0503
24,134.79010359999995,-0.272115,929800000,3.535e-10,0.0418
240,131.5310542,2.4402943,2800000000,2.136e-12,0.0757
241,131.55101172,2.4104748099999997,1471000000,3.497e-10,0.028
242,131.71341809999998,2.5696619999999997,1437000000,3.193e-10,0.0296
243,131.715629,2.568129,279100000,3.476e-13,0.0277
244,131.7234564,2.5026394,505300000,2.302e-11,0.0284
245,133.96796589999997,2.5243246,1011000000,2.011e-10,0.0127
246,136.4562451,2.7805934,2582000000,7.668e-10,0.099
247,136.9899208,2.8567788000000003,1832000000,4.538e-10,0.1015
248,137.2610742,2.8064543,97680000,3.859e-09,0.0266
249,137.57143669999996,2.7983909,1114000000,1.122e-09,0.0961
25,135.302918,-0.40455870000000005,1064000000,9.234e-11,0.0535
250,138.2996289,2.9697788000000003,2664000000,2.08e-11,0.0969
251,139.50338150000002,2.908229,1742000000,6.353e-11,0.0544
252,129.6938659,2.777259,1616000000,1.978e-11,0.0605
253,129.77826349999998,2.6616508,2872000000,2.505e-10,0.1038
