ind,ra,dec,mass_stellar_best_fit,sSFR_best_fit,z
0,130.03717859999998,-0.6695398,898800000,1.006e-09,0.0767
1,131.5926269,-0.7162,386200000,3.535e-10,0.0405
10,129.1919769,-0.32419899999999996,42250000,3.925e-10,0.0177
100,134.4350495,1.3172181,1806000000,9.596e-12,0.0709
101,134.45497939999998,1.3229625,300700000,2.788e-10,0.0246
102,134.4795236,1.2372163,2161000000,1.003e-10,0.0733
103,134.55366,1.3673594,1211000000,5.56e-10,0.0716
104,134.57123839999997,1.1861151,2184000000,1.84e-13,0.0724
105,134.6936404,1.2170291000000002,1339000000,6.288e-10,0.0724
106,134.7105892,1.3736256,813800000,4.149e-10,0.0748
107,135.3873838,1.3598044,678100000,5.874e-10,0.053
108,135.58264009999996,1.2343145,2079000000,2.21e-10,0.0936
109,135.8650739,1.321339,1692000000,4.358e-10,0.0932
11,129.4113899,-0.3161139,2217000000,4.151e-12,0.0518
110,136.890851,1.3920384,1047000000,7.405e-10,0.1024
111,138.3125781,1.3306757,1233000000,6.201e-11,0.0554
112,139.88784389999998,1.4163846999999998,2818000000,8.475e-10,0.1415
113,140.23261169999998,1.5007443,1735000000,1.595e-10,0.0819
114,129.334203,1.5039521,1004000000,4.172e-10,0.0783
115,130.81637379999998,1.4841307000000001,286300000,1.478e-10,0.0131
116,130.8161491,1.6531137999999999,2707000000,1.113e-10,0.096
117,130.9869913,1.5842929000000001,482400000,3.418e-10,0.0134
118,131.93416889999997,1.5652637,552300000,7.666e-10,0.0597
119,132.0354462,1.5660013000000002,2483000000,2.04e-10,0.0399
12,129.4479025,-0.2440376,589400000,1.345e-10,0.0522
120,132.0114896,1.622913,1130000000,3.925e-10,0.0692
121,132.0224588,1.7095447,63920000,1.214e-09,0.0254
122,132.14930719999998,1.5164123,2193000000,6.292e-11,0.0686
123,132.1834989,1.635558,395400000,4.455e-10,0.0504
124,132.2782758,1.5657597,1608000000,1.217e-10,0.0417
125,133.5715903,1.6008352000000001,114000000,3.957e-10,0.0286
126,133.63078249999998,1.7425552,590600000,2.722e-10,0.0532
127,134.0653912,1.5954808000000003,232800000,1.087e-09,0.0366
128,134.48688249999998,1.6245779,402200000,9.447e-10,0.0408
129,134.99875269999998,1.7692845,1346000000,5.643e-10,0.0767
13,129.7403952,-0.4193914,1762000000,1.495e-10,0.0802
130,135.4452567,1.6250342,2991000000,4.912e-10,0.09
131,136.416847,1.8575338000000001,117100000,2.774e-10,0.0243
132,137.18536779999997,1.7111391,2299000000,1.094e-10,0.0562
133,137.5769102,1.7939922,2563000000,4.689e-10,0.1048
134,137.53730139999996,1.7671314999999999,2282000000,2.982e-10,0.1003
135,138.13329139999996,1.8349681000000002,872400000,2.799e-10,0.0554
136,138.4871865,1.8130645,514200000,5.044e-11,0.0333
137,140.1257571,1.7895723,1557000000,1.332e-10,0.0911
138,140.5250177,1.8360036000000002,1543000000,3.503e-10,0.0846
139,129.8658067,1.8814646,2329000000,2.752e-10,0.0727
