ind,ra,dec,mass_stellar_best_fit,sSFR_best_fit,z
0,129.4107342,-0.6956981,1566000000,3.23e-10,0.079
1,130.70132909999998,-0.7244157,781800000,5.71e-10,0.0785
10,140.2838837,-0.23105030000000001,1614000000,4.364e-10,0.061
100,133.77219329999997,0.9490489,442900000,2.882e-10,0.0517
101,134.5172213,1.133462,2533000000,4.35e-11,0.0688
102,139.6930135,1.1443378,1962000000,6.056e-11,0.0806
103,130.330786,1.351736,733000000,3.82e-10,0.0457
104,132.76406242,1.36689991,1882000000,3.243e-10,0.0387
105,133.0097333,1.4967780000000002,2391000000,2.142e-10,0.0935
106,136.8135233,1.6503325999999998,1629000000,3.94e-10,0.1049
107,137.51434209999996,1.5974894000000002,1302000000,2.034e-09,0.0964
108,138.49257429999997,1.648547,147900000,3.027e-09,0.0571
109,140.93967089999998,1.7218734000000002,25580000,1.112e-09,0.0056
11,140.7002048,-0.310627,2299000000,2.642e-12,0.0579
110,129.00794919999998,1.7492467,217500000,1.028e-11,0.0138
111,129.4848069,1.829561,1165000000,1.796e-09,0.0824
112,129.6848206,1.66495,1763000000,2.994e-10,0.073
113,129.62003939999997,1.6724476999999998,146600000,6.886e-10,0.0294
114,129.8393242,1.7491859,2740000000,7.67e-10,0.1111
115,130.14477979999998,1.8483688000000003,1899000000,2.415e-10,0.0509
116,130.40368879999997,1.8189549,2594000000,2.931e-10,0.0943
117,131.6142349,1.8554235000000001,1352000000,3.24e-10,0.0599
118,131.80212139999998,1.8102632,2275000000,1.141e-12,0.0509
119,135.857182,2.0428214,2559000000,9.539e-10,0.1192
12,140.7407036,-0.39322640000000003,909300000,1.046e-10,0.0516
120,135.7385814,1.9241590999999998,693900000,2.546e-10,0.0706
121,137.3165865,2.0670207,2022000000,4.73e-10,0.0969
122,138.26744788999997,2.03871105,590600000,6.349e-10,0.0126
123,140.80507739999996,2.0601317999999997,1014000000,8.608e-11,0.0172
124,130.57758139999999,2.1535251,1269000000,7.556e-10,0.0942
125,132.1822369,2.2585255,217600000,2.346e-10,0.0287
126,132.5550664,2.2731488,1553000000,6.772e-11,0.0677
127,133.36232729999998,2.2081057000000004,1991000000,3.716e-10,0.0764
128,133.3194998,2.2429859,1023000000,2.42e-10,0.0347
129,137.50023679999998,2.3466955,724800000,1.104e-10,0.0391
13,140.7446742,-0.2624869,862900000,5.2e-10,0.0572
130,140.1679168,2.4520681,204100000,1.543e-10,0.0122
131,131.7333053,2.2487886,507300000,9.334e-10,0.0589
132,131.87084679999998,2.2771057,464800000,8.668e-11,0.0284
133,133.30860269999997,2.3801349,103500000,1.574e-09,0.0353
134,134.9579887,2.5697849999999995,1690000000,1.87e-10,0.0912
135,135.6234649,2.53576,2058000000,1.697e-11,0.0574
136,136.49184189999997,2.5030874,288700000,1.299e-10,0.0335
137,137.76470079999999,2.5722756999999996,934800000,1.8e-10,0.039
138,139.66771169999998,2.6944434000000004,2828000000,4.448e-10,0.0865
139,130.019368,2.5491047,2404000000,2.754e-10,0.0507
14,129.50079129999997,0.0981383,1550000000,3.932e-10,0.0835
140,130.2717317,2.4892745,2317000000,4.829e-12,0.068
141,130.59565759999998,2.4973208000000002,2696000000,1.671e-10,0.0286
142,130.6337299,2.7031877,2907000000,6.69e-10,0.0983
143,130.70534229999998,2.5567762999999997,394200000,2.578e-10,0.0498
144,131.78177029999998,2.6218061,2789000000,6.175e-12,0.0288
145,131.88076219999996,2.7358041,513900000,1.506e-11,0.0282
146,132.25313328999997,2.7866775969999997,211300000,2.437e-10,0.0288
147,132.9333041,2.8052265,1434000000,2.508e-10,0.0685
148,133.6906152,2.8280429999999996,2727000000,3.162e-10,0.1149
149,134.0770772,2.9331098,823000000,6.687e-10,0.0849
15,129.7595739,0.0902486,1123000000,4.559e-12,0.0499
150,137.74199779999998,2.9959608,1686000000,2.743e-10,0.0561
151,129.3088273,2.8644758,1325000000,1.952e-13,0.034
152,129.5373095,2.9543306,512400000,1.744e-10,0.0495
153,140.43013739999998,2.6908746000000003,1922000000,4.237e-10,0.0246
154,140.60377519999997,2.7077242000000004,2581000000,6.734e-11,0.0867
155,132.47543169999997,2.6035594,1354000000,9.681e-11,0.0598
156,132.9556959,2.5182447,832700000,3.47e-10,0.0364
157,133.5229155,2.6338022,1863000000,1.757e-10,0.0871
158,134.27687429999997,2.6645805,109300000,3.426e-10,0.0133
159,137.14649259999996,2.9021873,271300000,1.672e-10,0.024
16,132.5756236,0.0593543,2668000000,1.573e-10,0.0368
160,139.1493663,2.9839026,1950000000,2.119e-10,0.0878
161,130.46823139999998,2.8934266,247400000,6.515e-09,0.1134
